# schema=v5.native_operator_error_map.v1
# source_count=556
# interpreter_fixed_count=197
# dynamic_format_count=358
# inventory_sha256=0ba0c29826e96f54f574a8db9c6319d29f79c08082cacf170ea8bf4163e7b175
source_id	origin	native_pattern_json	reason_cn_json	handling_group
INTERPRETER_FMT_005BB8FB0122	CHKS:rs274ngc/interp_convert.cc	"G%d requires D word to be a whole number"	"G%d 要求D字是一个整数"	PROGRAM_SYNTAX
INTERPRETER_FMT_02A7A101691E	CHKS:rs274ngc/interp_convert.cc	"Q word with M19 requires a value > 0"	"Q字与M19需要值> 0"	PROGRAM_SYNTAX
INTERPRETER_FMT_0453E3037BB5	ERS:rs274ngc/interp_namedparams.cc	"Named parameter #<%s> not defined"	"命名参数 #<%s> 没有定义"	PROGRAM_SYNTAX
INTERPRETER_FMT_056AACFB0C12	ERS:rs274ngc/interp_convert.cc	"Cannot set reference point with cutter compensation in effect"	"刀具补偿生效时不能设置参考点"	TOOL
INTERPRETER_FMT_057AA4F49161	CHKS:rs274ngc/interp_python.cc	"py_execute(%s): Python plugin not initialized"	"扩展程序%s尚未初始化"	INTERNAL
INTERPRETER_FMT_0612A010BEC4	CHKS:rs274ngc/interp_namedparams.cc	"named param - pycall(%s):\n%s"	"扩展命名参数调用%s失败"	PROGRAM_SYNTAX
INTERPRETER_FMT_0676E4422F66	ERS:rs274ngc/interp_queue.cc	"BUG: Unsupported plane [%d] in cutter compensation"	"错误: 不支持平面 [%d] 中的刀具补偿"	INTERNAL
INTERPRETER_FMT_07383ADC18DF	ERS:rs274ngc/interp_cycles.cc	"%s for plane %s not implemented"	"%s尚不支持平面%s"	PROGRAM_GEOMETRY
INTERPRETER_FMT_08126D3EBA75	ERS:rs274ngc/interp_namedparams.cc	"can't open INI file '%s'"	"无法打开系统配置文件"	CONFIG
INTERPRETER_FMT_08371828E5A8	CHKS:rs274ngc/interp_read.cc	"Cannot read current position with cutter radius compensation on"	"使用刀具半径补偿时无法读取当前位置"	PROGRAM_GEOMETRY
INTERPRETER_FMT_086307DD8D79	ERS:rs274ngc/interp_cycles.cc	"Spindle not turning in %s"	"主轴在 %s 中未转动"	SPINDLE
INTERPRETER_FMT_089C14F9ED4C	CHKS:rs274ngc/interp_convert.cc	"BUG: restore from level %d !?"	"错误:从级别%d恢复?"	INTERNAL
INTERPRETER_FMT_0B1E8A6600B6	CHKS:rs274ngc/interp_read.cc	"BUG: M remapping: modal group < 0"	"M指令重映射组小于允许范围"	INTERNAL
INTERPRETER_FMT_0B2BCC5D9B11	CHKS:rs274ngc/interp_arc.cc	"Radius to end of arc differs from radius to start: start=(%c%.4f,%c%.4f) center=(%c%.4f,%c%.4f) end=(%c%.4f,%c%.4f) r1=%.4f r2=%.4f abs_err=%.4g rel_err=%.4f%%"	"半径到圆弧的半径不同于半径开始: start=(%c%.4f,%c%.4f) center=(%c%.4f,%c%.4f) end=(%c%.4f,%c%.4f) r1=%.4f r2=%.4f abs_err=%.4g rel_err=%.4f%%"	PROGRAM_GEOMETRY
INTERPRETER_FMT_0CDF907F4DBE	CHKS:rs274ngc/interp_convert.cc	"Q number in G10 is not an integer"	"G10中的Q号不是一个整数"	PROGRAM_SYNTAX
INTERPRETER_FMT_0D8E22C67F68	ERS:rs274ngc/interp_read.cc	"bad number format (conversion failed) parsing '%s'"	"错误的数字格式(转换失败)解析 '%s'"	PROGRAM_SYNTAX
INTERPRETER_FMT_10013D6BC515	CHKS:rs274ngc/interp_read.cc	"DISABLE_FANUC_STYLE_SUB set in INI file, but found m98"	"程序中的M98与当前子程序格式设置不一致"	CONFIG
INTERPRETER_FMT_101F1712E8B6	CHKS:rs274ngc/interp_read.cc	"Calculation resulted in 'infinity'"	"计算结果 'infinity'"	PROGRAM_SYNTAX
INTERPRETER_FMT_112C177218F8	CHKS:rs274ngc/interp_namedparams.cc	"Python namedparams.%s returns no value"	"扩展参数%s没有返回值"	PROGRAM_SYNTAX
INTERPRETER_FMT_1467F43D71D6	CHKS:rs274ngc/interp_read.cc	"Calculation resulted in 'not a number'"	"计算结果 'not a number'"	PROGRAM_SYNTAX
INTERPRETER_FMT_14F58B875DC2	CHKS:rs274ngc/interp_python.cc	"py_reload:\n%s"	"扩展程序重新加载失败"	PROGRAM_SYNTAX
INTERPRETER_FMT_15D00B1568C3	CHKS:rs274ngc/interp_convert.cc	"Arc move in concave corner cannot be reached by the tool without gouging"	"没有刨削槽的刀具无法到达凹角处的弧线"	TOOL
INTERPRETER_FMT_15E67A96F3C8	CHKS:rs274ngc/interp_remap.cc	"BUG: add_parameters: argspec = NULL"	"扩展参数定义缺失"	INTERNAL
INTERPRETER_FMT_172519EECC6A	ERS:rs274ngc/rs274ngc_pre.cc	"BUG: execute_block: got %d - not in remappings() !! (next_remap=%d)"	"控制系统内部程序块状态异常（当前%d，下一项%d）"	INTERNAL
INTERPRETER_FMT_17361C542CDC	CHKS:rs274ngc/interp_convert.cc	"Invalid analog index with M67"	"模拟索引与M67无效"	PROGRAM_SYNTAX
INTERPRETER_FMT_18778807F06E	CHKS:rs274ngc/interp_o_word.cc	"'O.... sub' subroutine must be called with 'O.... call'"	"O sub子程序必须用O call调用"	PROGRAM_FLOW
INTERPRETER_FMT_18A7E9120FF6	CHKS:rs274ngc/interp_convert.cc	"Spindle not turning in G33"	"在 G33 中主轴未转动"	SPINDLE
INTERPRETER_FMT_18AE95F1F813	CHKS:rs274ngc/interp_check.cc	"L word with no G10, cutter compensation, canned cycle, digital/analog input, M98 or NURBS code"	"L字，无G10，刀具补偿，固定循环，数字/模拟输入或M98和NURBS代码"	TOOL
INTERPRETER_FMT_18F32FEB0070	CHKS:rs274ngc/interp_read.cc	"DISABLE_FANUC_STYLE_SUB set in INI file, but found m99"	"程序中的M99与当前子程序格式设置不一致"	CONFIG
INTERPRETER_FMT_1A31AC1585A0	CHKS:rs274ngc/interp_read.cc	"Left bracket missing after 'if'"	"'if'后左括号丢失"	PROGRAM_SYNTAX
INTERPRETER_FMT_1B881013FED0	CHKS:rs274ngc/interp_execute.cc	"Invalid spindle ($) number in Spindle speed command"	"主轴速度命令中的主轴 ($) 编号无效"	SPINDLE
INTERPRETER_FMT_1DFCB24DF6AA	CHKS:rs274ngc/interp_convert.cc	"Invalid spindle ($) number in G33.1 move"	"G33.1移动中的主轴($) 编号无效"	SPINDLE
INTERPRETER_FMT_1E44A8A95ACB	CHKS:rs274ngc/interp_internal.cc	"Cannot use polar coordinate except in G17 plane"	"除G17平面外不能使用极坐标"	PROGRAM_GEOMETRY
INTERPRETER_FMT_1FC58D5542F4	CHKS:rs274ngc/interp_cycles.cc	"G17.1 canned cycle is not possible on a machine without W axis"	"没有W轴的机床不能使用G17.1固定循环"	PROGRAM_GEOMETRY
INTERPRETER_FMT_204F923BEB67	ERS:rs274ngc/interp_convert.cc	"BUG: Code not G28.1 or G38.1"	"控制系统内部指令状态异常"	INTERNAL
INTERPRETER_FMT_227F14A3417E	ERS:rs274ngc/interp_namedparams.cc	"Cannot assign to read-only parameter #<%s>"	"无法分配给只读参数#<%s>"	INTERNAL
INTERPRETER_FMT_24274F5D36E0	ERS:rs274ngc/interp_read.cc	"Unexpected character after O-word"	"O字后存在意外字符"	PROGRAM_FLOW
INTERPRETER_FMT_24DAB3F6707E	CHKS:rs274ngc/interp_read.cc	"Multiple V words on one line"	"一行上有多个V字"	PROGRAM_SYNTAX
INTERPRETER_FMT_2613E32B27AB	CHKS:rs274ngc/interp_cycles.cc	"Invalid spindle ($) number in G74/G84 cycle"	"G74 / G84循环中的主轴($) 编号无效"	SPINDLE
INTERPRETER_FMT_27D2418AEA68	ERS:rs274ngc/rs274ngc_pre.cc	"BUG: remap_level < 0 : %d"	"控制系统内部重映射层级无效（%d）"	INTERNAL
